AMLD 2019	Applied Machine Learning Days	"EPFL, Lausanne, Switzerland"
ICSSE--Ei and Scopus 2019	2019 2nd International Conference on Software and Services Engineering (ICSSE 2019)--Ei Compendex and Scopus	"Prague, Czech Republic"
"ACM--ICISS--Ei, Scopus 2019"	"ACM--2019 2nd International Conference on Information Science and System (ICISS 2019)--Ei Compendex, Scopus"	"Tokyo, Japan"
ARDUOUS 2019	3rd International Workshop on Annotation of useR Data for UbiquitOUs Systems	"Kyoto, Japan"
"ICIIT--ACM, Ei and Scopus 2019"	ACM--2019 4th International Conference on Intelligent Information Technology (ICIIT 2019)--Ei Compendex and Scopus	"Da Nang, Vietnam"
"ICICT--IEEE, Ei & Scopus 2019"	IEEE--2019 the 2nd International Conference on Information and Computer Technologies (ICICT 2019)--Ei & Scopus	"University of Hawaii Maui College, USA"
"APIT--ACM, EI, Scopus 2019"	"ACM--2019 Asia Pacific Information Technology Conference (APIT 2019)--EI Compendex, Scopus"	"Jeju Island, South Korea"
ICCAE--Ei Compendex and Scopus 2019	2019 11th International Conference on Computer and Automation Engineering (ICCAE 2019)--Ei Compendex and Scopus	"Perth, Australia"
TAMC 2019	Theory and Applications of Models of Computation	Japan
ICFCC--EI and Scopus 2019	2019 The 11th International Conference on Future Computer and Communication (ICFCC 2019)--EI Compendex and Scopus	"Rangoon, Burma"
ICMLSC--Ei Compendex and Scopus 2019	2019 3rd International Conference on Machine Learning and Soft Computing (ICMLSC 2019)--Ei Compendex and Scopus	"Da Lat, Vietnam"
"RCAE--ACM, Ei, Scopus 2018"	"ACM--2018 International Conference on Robotics, Control and Automation Engineering (RCAE 2018)--Ei Compendex, Scopus"	"Beijing, China"
ICDIS 2019	The 2nd International Conference on Data Intelligence and Security	"South Padre Island, Texas, USA"
ASPAI 2019	First International Conference on Advances in Signal Processing and Artificial Intelligence (ASPAI' 2019)	Barcelona
"ICCTD--EI, Scopus 2019"	"2019 10th International Conference on Computer Technologies and Development (ICCTD 2019)--EI Compendex, Scopus"	"Prague, Czech Republic"
AI-DMR 2019	Special issue of IEEE Intelligent Systems: AI for Disaster Management and Resilience	Locationunavailable
Task Intelligence - WSDM 2019	Task Intelligence Workshop at WSDM 2019	"Melbourne, Australia"
CBR@FLAIRS 2019	CBR@FLAIRS 2019 : FLAIRS-32 Special Track on Case-Based Reasoning	"Sarasota, FL"
AIHealth@FLAIRS 2019	AI in Healthcare Informatics Special Track at FLAIRS	"Sarasota, FL"
SLIE 2019	"Special Track Semantics, Logics, Information extraction and AI"	"Sarasota, Florida"
"ICVR--ACM, Ei, Scopus 2019"	"ACM--2019 5th International Conference on Virtual Reality (ICVR 2019)--Ei Compendex, Scopus"	Singapore
ICRIS--Ei and Scopus 2019	2019 The 2nd International Conference on Robotics and Intelligent System (ICRIS 2019)--Ei Compendex and Scopus	"Warsaw, Poland"
ICMSCE--Ei and Scopus 2019	2019 3rd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2019)--Ei Compendex and Scopus	"Nice, France"
ICCCS--Ei and Scopus 2019	2019 4th International Conference on Computer and Communication Systems (ICCCS 2019)--Ei Compendex and Scopus	Singapore
INAIT 2019	International Conference on Industry 4.0 and Artificial Intelligence Technologies	"Hughes Hall, University of Cambridge, Un"
ACM--ICISDM--Ei and Scopus 2019	ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus	"University of Houston, Texas, USA"
"ICICA--Ei, Scopus 2019"	"2019 The 8th International Conference on Intelligent Computing and Applications (ICICA 2019)--Ei Compendex, Scopus"	"Melbourne, Australia"
