AMLD 2019	Applied Machine Learning Days	"EPFL, Lausanne, Switzerland"
IEEE--ISCMI--EI Compendex and Scopus 2018	2018 IEEE 5th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2018)--EI Compendex and Scopus	"Nairobi, Kenya"
CIBI 2018	International Workshop on Computational Intelligence for Brain Imaging (CIBI)	"Arlington, Texas, USA"
ICITISEE 2018	"ICITISEE 2018: The 3rd International Conference on Information Technology, Information Systems and Electrical Engineering"	"Grand Inna Malioboro Hotel, Yogyakarta"
IEEE FRUCT 2018	23nd Conference of Open Innovations Association FRUCT	"Bologna, Italy"
R3T3 2018	"Rethinking, Reworking and Revolutionising The Turing Test conference"	University of Edinburgh
IIT 2018	13th International Conference on Innovations in Information Technology	"Al Ain, United Arab Emirates"
ICBDR--Ei & Scopus 2018	2018 The 2nd International Conference on Big Data Research (ICBDR 2018)--Ei Compendex & Scopus	"Weihai, China"
IFIP/IEEE IM 2019	IFIP/IEEE International Symposium on Integrated Network Management (IM 2019)	"Washington DC, USA"
DEC-NYC 2018	DataEngConf NYC '18	Columbia University
MIKE 2018	MIKE 2018: 6th International Conference on Mining Intelligence and Knowledge Exploration	"Cluj - Napoca, Romania"
"SPIE--ICMV--Scopus, Ei Compendex 2018"	"SPIE--2018 The 11th International Conference on Machine Vision (ICMV 2018)--Scopus, Ei Compendex"	"Munich, Germany"
AAAI 2019	National Conference on Artificial Intelligence	"Honolulu, Hawaii"
"ICEDA--EI Compendex, Scopus 2018"	"2018 3rd International Conference on Engineering Design and Analysis (ICEDA 2018)--EI Compendex, Scopus"	"Nha Trang, Vietnam"
WILE 2018	11th Workshop on Intelligent Learning Environments	"Guadalajara, MÃ©xico"
ACDT 2018	The 5th Asian Conference on Defense Technology - ACDT 2018	Hanoi
AIAP 2018	Artificial Intelligence and Its Applications	"EL-Oued, Algeria"
KICSS 2018	"13th International Conference on Knowledge, Information and Creativity Support Systems"	"Pattaya, Thailand"
iSAI-NLP 2018	13th International Joint Symposium on Artificial Intelligence and Natural Language Processing	"Pattaya, Thailand"
CAIHE 2018	International Workshop on Collaboration with Artificial Intelligence in Health-Care Environments	"Shanghai, Peopleâ€™s Republic of China"
CIMA 2018	8th International Workshop on Combinations of Intelligent Methods and Applications	"Volos, Greece"
RTIS 2018	Third International Conference on Real-Time Intelligent Systems	Taipei
ICITCS 2018	8th International Conference on IT Convergence and Security	Bangkok Thailand
DIT 2018	Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18)	Singapore
Call for Chapter Proposals 2018	Neutrosophic Sets - Theory and Applications	Science Gate Publishing
"ICAAI--ACM, Ei Compendex, Scopus 2018"	"ACM--2018 The 2nd International Conference on Advances in Artificial Intelligence (ICAAI 2018)--Ei Compendex, Scopus"	"Barcelona, Spain"
"Book Chapter, IGI Global 2018"	Call for Chapters: Post-Narratology Through Computational and Cognitive Approaches	USA
ACM--ICCBB--Ei and Scopus 2018	ACM--2018 2nd International Conference on Computational Biology and Bioinformatics (ICCBB 2018)--Ei Compendex and Scopus	"Bari, Italy"
FAT* 2019	"2019 Conference on Fairness, Accountability, and Transparency"	"Atlanta, USA"
ICACR--EI and SCOPUS 2018	"2018 2nd International Conference on Automation, Control and Robots (ICACR 2018)--EI Compendex, and SCOPUS"	"Bangkok, Thailand"
ACML-MoL 2018	ACML 2018 Workshop on Multi-output Learning	"Beijing, China"
AI^3 2018	AI^3 2018: 2nd Workshop on Advances In Argumentation In Artificial Intelligence (DEADLINE Extended to 18th August 2018)	"Trento, Italy"
IEEE AIVR 2018	IEEE International conference on Artificial Intelligence and Virtual Reality	"Taichung, Taiwan"
RiTA 2018	The 6th International Conference on Robot Intelligence Technology and Applications	"Kuala Lumpur, Malaysia"
ICTC 2018	The 9th International Conference on Information and Communication Technology Convergence	"Jeju Island, Korea"
"ICCMA--ACM, Ei, Scopus 2018"	"ACM--2018 The 6th International Conference on Control, Mechatronics and Automation (ICCMA 2018)--Ei Compendex, Scopus"	"Tokyo, Japan"
TIST Special Issue 2018	ACM TIST Special Issue on Advances in Causal Discovery and Inference	Locationunavailable
LKE 2018	"Language and Knowledge Engineering- 6th Symposium. 29-31 Oct 2018. Puebla, Mexico"	"Puebla, Mexico"
LPAR 2018	"International Conference on Logic for Programming, Artificial Intelligence and Reasoning"	"Awassa, Ethiopia"
SiPML 2018	2018 Workshop on Signal Processing and Machine Learning (SiPML)	"Tunghai University, Taichung, Taiwan"
IWDS 2018	6th IEEE International Workshop on Data Science	Berlin
RAICoM 2018	International Conference on Recent Advances in Intelligent and Connected Mobility	"Coimbra, Potugal"
SCDocShowcase 2018	Doctoral Showcase at Supercomputing	"Dallas, TX"
NL4AI 2018	2nd Workshop on Natural Language for Artificial Intelligence	"Trento, Italy"
DELL@ICDM 2018	[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018)	Singapore
SAREC 2018	1st Workshop on Scalable and Applicable Recommendation Systems	Singapore
AISB 2018	Artificial Intelligence for Synthetic Biology	"Arlington, VA"
ICACTE 2018	2018 The 11th International Conference on Advanced Computer Theory and Engineering (ICACTE 2018)	"Hanoi, Vietnam"
"MLMI--Ei Compendex, Scopus 2018"	"ACM--2018 International Conference on Machine Learning and Machine Intelligence (MLMI 2018)--Ei Compendex, Scopus"	"Hanoi, Vietnam"
AI3D 2018	International Workshop on Artificial Intelligence for 3D Bigdata Processing (Co-located with IEEE AIKE 2018)	"Laguna Hills, California, USA"
WOMoCoE 2018	"3rd International Workshop on Ontology Modularity, Contextuality, and Evolution"	"Tempe, Arizona"
CORE 2018	CORE Congress 2018 - CIC IPN MX	Mexico City
PRIMA 2018	The 21st International Conference on Principles and Practice of Multi-Agent Systems	"Tokyo, Japan"
ICVGIP 2018	"Indian Conference on Computer Vision, Graphics and Image Processing"	"Hyderabad, India"
ACML 2018	The 10th Asian Conference on Machine Learning	"Beijing, China"
IWAISe 2018	2nd International Workshop on A.I. in Security	Dublin
AACR - AI in Cancer 2018	"AACR - Artificial Intelligence, Big Data and Prediction in Cancer"	Rhode Island
Intelligent Virtual Agents (SI) 2018	Special Issue on Intelligent Virtual Agents	Multimodal Tehcnologies and Interaction
"ICITT--EI Compendex, Scopus 2018"	"2018 2nd International Conference on Intelligent Traffic and Transportation (ICITT 2018)--EI Compendex, Scopus"	"Stockholm, Sweden"
SKG 2018	"The 14th International Conference on Semantics, Knowledge and Grids on Big Data, AI and Future Interconnection Environment"	"Guangzhou, China"
ICIIT 2018	International Conference on Intelligent Information Technologies	"CHENNAI, INDIA"
AISO 2018	4th International Conference on Artificial Intelligence and Soft Computing	"Dubai,UAE"
E&C 2018	3rd International Conference on Electrical & Computer Engineering	"Dubai,UAE"
AISO 2018	4th International Conference on Artificial Intelligence and Soft Computing	"Dubai,UAE"
CSEN 2018	5th International Conference on Computer Science and Engineering	"Dubai,UAE"
CSEN 2018	5th International Conference on Computer Science and Engineering	"Dubai,UAE"
HM 2019	11th International Workshop on Hybrid Metaheuristics	"ConcepciÃ_n, Chile"
scis-isis2018dmoo 2018	Special Session Advances on Dynamic Multi-objective Optimization and its Applications	Japan
SCIS-ISIS 2018	Joint 10th International Conference on Soft Computing and Intelligent Systems and 19th International Symposium on Advanced Intelligent Systems	"Toyama, Japan"
AIKE 2018	The First IEEE International Conference on Artificial Intelligence and Knowledge Engineering (deadline extended)	"Laguna Hills, CA"
CyberC 2018	The 10th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	China
ICCR--EI and Scopus 2018	2018 International Conference on Control and Robot (ICCR 2018)--EI Compendex and Scopus	Hong Kong
AI World Cup 2018	Challenge AI World Cup 2018 !	"KAIST Daejeon, Korea"
"ICIVP--EI, Scopus 2018"	"2018 International Conference on Image and Video Processing (ICIVP 2018)--EI Compendex, Scopus"	"Macau, China"
ACM--NLPIR--Ei Compendex and Scopus 2018	ACM--2018 2nd International Conference on Natural Language Processing and Information Retrieval (NLPIR 2018)--Ei Compendex and Scopus	"Bangkok, Thailand"
IVI 2018	Special Session on Intelligent Visual IoT: Tools and applications	"Hanoi, Vietnam"
DARE 2018	"ECMLPKDD 2018, 6th International Workshop on Data Analytics for Renewable Energy Integration"	"Dublin, Ireland"
"ACM--WSSE--ACM, Ei Compendex, Scopus 2018"	"ACM--The World Symposium on Software Engineering (WSSE 2018)--Ei Compendex, Scopus"	"Wuhan, Hubei, China"
KMH 2018	ACM 1st International Workshop on Knowledge Management for Healthcare	"Lingotto, Turin, Italy"
"CMECE--EI, Scopus 2018"	"2018 5th International Conference on Mechanical, Electronics and Computer Engineering (CMECE 2018)--EI Compendex, Scopus"	Singapore
AI & IoT 2018	Pharma AI & IoT 2018	"Canary Riverside Plaza Hotel, London UK"
Scopus-AIAAT 2018	2018 2nd International Conference on Artificial Intelligence Applications and Technologies (AIAAT 2018)	"Shanghai, China"
HPML 2018	High Performance Machine Learning	Lyon - France
IoT & AI Summit 2018	5th IoT & AI Summit 2018	"Sterlings Mac (Matthan Hotel) Bangalore,"
DSS 2018	4th International Workshop on Data-Driven Self-Regulating Systems	"Trento, Italy"
NEMESIS 2018	1st Workshop on Recent Advances in Adversarial Machine Learning - ECML/PKDD	"Dublin, Ireland"
KDD-DeepLearningDay 2018	ACM SIGKDD 2018 Deep Learning Day Call for Papers	"London, UK"
MIWAI 2018	The 12th Multi-Disciplinary International Conference on Artificial Intelligence	"Hanoi, Vietnam"
IEEE--ICAVE--Ei and Scopus 2018	"2018 2nd International Conference on Automotive and Vehicle Engineering (ICAVE 2018)--IEEE, Ei Compendex and Scopus"	Singapore
IEEE--ICITE--Ei and Scopus 2018	IEEE--2018 3rd International Conference on Intelligent Transportation Engineering (ICITE 2018)--Ei Compendex and Scopus	Singapore
CICET 2018	"The International Conference on Recent Advancements in Computing, IoT and Computer Engineering Technology 2018"	"The Tamkang University Taipei, Taiwan"
MIPPSNA 2018	Multimedia Information Processing for Personality & Social Network Analysis Workshop @ ICPR 2018	"Beijing, China"
AI-learning 2018	The First International Workshop on AI & Deep Learning	China
ICIIP--Ei and Scopus 2018	2018 the 7th International Conference on Intelligent Information Processing (ICIIP 2018)--Ei Compendex and Scopus	"Barcelona, Spain"
SAI 2018	"7th International Conference on Soft Computing, Artificial Intelligence and Applications - UGC Listed Proceedings"	"Chennai,India"
SI-AIMHD 2018	Special Issue on Artificial Intelligence for Mobile Health Data Analysis and Processing	Locationunavailable
CEEC 2018	10th Computer Science and Electronic Engineering Conference	"Colchester, UK"
Kaleidoscope 2018	ITU Kaleidoscope 2018 - Machine learning for a 5G future	"Santa Fe, Argentina"
"IEEE--IRCE--EI, Scopus 2018"	"IEEE--2018 International Conference on Intelligent Robotic and Control Engineering (IRCE 2018)--EI Compendex, Scopus"	"Lanzhou, China"
"ICRCA--ACM, Ei Compendex and Scopus 2018"	"2018 The 3rd International Conference on Robotics, Control and Automation (ICRCA 2018)--ACM, Ei Compendex and Scopus"	"Chengdu, China"
"ICRMV--SPIE, Scopus, Ei and CPCI 2018"	"SPIE--2018 3rd International Conference on Robotics and Machine Vision (ICRMV 2018)--Scopus, Ei Compendex and CPCI"	"Chengdu, China"
SYNASC 2018	20th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing	"Timisoara, Romania"
DKBKIK 2018	The 7th Workshop on Dynamics of Knowledge and Belief (DKB-2018) and the 6th Workshop KI & Kognition (KIK-2018): Formal and Cognitive Reasoning	Berlin
iWOAR 2018	5th International Workshop on Sensor-based Activity Recognition and Interaction	"Berlin, Germany"
ISCBI--Ei Compendex and Scopus 2018	2018 6th International Symposium on Computational and Business Intelligence (ISCBI 2018)--Ei Compendex and Scopus	"Basel, Switzerland"
AIPR--Ei Compendex and Scopus 2018	2018 International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2018)--Ei Compendex and Scopus	"Beijing, China"
ISPR 2018	4th International Conference on Image and Signal Processing	"Dubai,UAE"
ICISIP 2018	The 6th IIAE International Conference on Intelligent Systems and Image Processing 2018	"Matsue, Japan"
ACM-ICCES 2018	ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences	Kuala Lumpur
BI 2018	The 11th International Conference on Brain Informatics	"Arlington, TX"
ACM-ICCES 2018	ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences	Kuala Lumpur
IWAIPR 2018	6th Internacional Workshop on Artificial Intelligence and Pattern Recognition	"La Havana, Cuba"
ACM-ICCES 2018	ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences	Kuala Lumpur
ACM--PRAI--Ei and Scopus 2018	ACM--2018 the International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2018)--Ei Compendex and Scopus	"Union, NJ, USA"
ACM--ICACS--Ei and Scopus 2018	"ACM--2018 2nd International Conference on Algorithms, Computing and Systems (ICACS 2018)--Ei Compendex and Scopus"	"Beijing, China"
AINL 2018	Artificial Intelligence and Natural Language	"Saint Petersburg, Russia"
WI 2018	2018 IEEE/WIC/ACM International Conference on Web Intelligence	"Santiago, Chile"
HumL@ISWC 2018	Workshop: HumL@ISWC2018 - Augmenting Intelligence with HumansÂ_-in-Â_the-Â_Loop	"Monterey, California"
AI4BPM 2018	Artificial Intelligence for Business Process Management Workshop (AI4BPM 2018)	Sydney
RuleML+RR-DC 2018	Call For Papers: RuleML+RR Doctoral Consortium 2018	University of Luxembourg - Belval Campus
ICTAI 2018	International Conference on Tools with Artificial Intelligence	"Volos,Greece"
CCL 2018	The 17th China National Conference on Computational Linguistics (17th CCL) and The 6th International Symposium on Natural Language Processing based on Naturally Annotated Big Data	Changsha
INTECH 2018	Eighth International Conference on Innovative Computing Technology	Luton
ISWC (Additional Tracks) 2018	17th International Semantic Web Conference	"Monterey, California, USA"
IFIP IIP 2018	10th International Conference on Intelligent Information Processing	Nanning
ACM-ICCES 2018	ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences	Kuala Lumpur
"ICRSA--Ei, Scopus 2018"	"2018 International Conference on Robot Systems and Applications (ICRSA 2018)--Ei Compendex, Scopus"	"Shanghai, China"
"ACIRS--IEEE, Ei Compendex and Scopus 2018"	IEEE--2018 3rd Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2018)--Ei Compendex and Scopus	Singapore
ICIPCE 2018--Ei and Scopus 2018	2018 2nd International Conference on Information Processing and Control Engineering (ICIPCE 2018)--Ei Compendex and Scopus	"Shanghai, China"
FrOSCon 2018	Free and Open Source Software Conference	"Sankt Augustin, Germany"
ISSEA 2018	Special Session on Intelligent Systems and Software Engineering Advances	"Vilnius, Lithuania"
LLARLA 2018	2nd Workshop on Lifelong Learning: A Reinforcement Learning Approach @ICML/IJCAI 2018.	"Stockholm, Sweden"
WAISE 2018	First International Workshop on Artificial Intelligence Safety Engineering	"VÃ_sterÃ¥s, Sweden"
ICCIA--Ei Compendex and Scopus 2018	2018 the 3rd IEEE International Conference on Computational Intelligence and Applications (ICCIA 2018)--Ei Compendex and Scopus	Hong Kong
BOOM 2018	3rd IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)	"Stockholm, Sweden"
IBERAMIA 2018	16th Ibero-American Conference on Artificial Intelligence	"Trujillo, Peru"
IBERAMIA 2018	16th Ibero-American Conference on Artificial Intelligence	"Trujillo, Peru"
ACM-ICCES 2018	4th ACM - International Conference of Computing for Engineering and Sciences	Kuala Lumpur
ICA 2018	IEEE International Conference on Agents	Singapore
ICCSE 2018	International Conference on Crowd Science and Engineering	Singapore
ICAA 2018	International Conference on Ageless Aging	Singapore
AIQA 2018	Artificial Intelligence for Question Answering	"Budapest, Hungary"
UCIENCIA 2018	III International Scientific Conference UCIENCIA 2018	"Havana, Cuba"
PAAI 2018	Predictive Analytics using Artificial Intelligence (PAAI 2018 Special Session in DeSE 2018)	"Cambridge, UK"
ICDLT--Ei and Scopus 2018	2018 2nd International Conference on Deep Learning Technologies (ICDLT 2018)--Ei Compendex and Scopus	"Chongqing, China"
HCI 2018	Affective Computing in HCI	Belfast
Xenolinguistics 2018	Chapter Proposals for Xenolinguistics: Toward a Science of Extraterrestrial Language	Locationunavailable
IEEE LA-CCI 2018	IEEE Latin American Conference on Computational Intelligence 2018	"Guadalajara, Mexico"
IVA 2018	Intelligent Virtual Agents	"Sydney, Australia"
ICRAS--EI and Scopus 2018	2018 2nd International Conference on Robotics and Automation Sciences (ICRAS 2018)--EI Compendex and Scopus	"Wuhan, China"
UCIENCIA 2018	III International Scientific Conference UCIENCIA 2018	Havana
BigScholar 2018	The KDD 2018 Workshop on Big Scholarly Data	"London, United Kingdom"
AI^3 2018	AAMAS-IJCAI workshop on Agents & Incentives in AI (AI^3 2018)	Stockholm
ALA 2018	Adaptive and Learning Agents Workshop @ Federated AI Meeting 2018	Stockholm
DS-RAIT 2018	5th Doctoral Symposium on Recent Advances in Information Technology	"Poznan, Poland"
RuleML+RR 2018	International Joint Conference on Rules and Reasoning	Luxembourg
RTcMAS 2018	1st International Workshop on Real Time compliant Multi-Agent Systems	"Stockholm, Sweden"
ACM--ICoMS--EI and SCOPUS 2018	ACM--2018 International Conference on Mathematics and Statistics (ICoMS 2018)--EI Compendex and SCOPUS	"Porto, Portugal"
KI 2018	The 41st German Conference on Artificial Intelligence	"Berlin, Germany"
CSCS 2018	2. ACM Computer Science in Cars Symposium (CSCS 2018): Future Challenges in Artificial Intelligence & Security for Autonomous Vehicles	"Munich, Germany"
AI*QA 2018	1st International Workshop on Artificial Intelligence for Question Answering	"Budapest, Hungary"
KDH 2018	The 3rd International Workshop on Knowledge Discovery in Healthcare Data	"Stockholm, Sweden"
BDAI- Ei Compendex and Scopus 2018	2018 International Conference on Big Data and Artificial Intelligence (BDAI 2018)-- Ei Compendex and Scopus	"Beijing, China"
HPCCT--Ei Compendex and Scopus 2018	2018 2nd High Performance Computing and Cluster Technologies Conference (HPCCT 2018)--Ei Compendex and Scopus	"Beijing, China"
ITNG 2019	16th International Conference on Information Technology: New Generations	"Las Vegas, NV"
BigGraphs 2018	"International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs)"	"Seattle, WA"
NCOM 2019	5 th International Conference on Networks & Communications	"Toronto, Canada"
CMIT 2019	7th International Conference of Managing Information Technology	"Melbourne, Australia"
SIPRO 2019	5th International Conference on Signal and Image Processing	"Toronto, Canada"
CNSA 2019	12th International Conference on Security and its Applications	"Vancouver, Canada"
IJDPS 2018	International Journal of Distributed and Parallel systems	Locationunavailable
GRAPH-HOC 2018	10th International Conference on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks	"Dubai, UAE"
SOEA 2019	3rd International Conference on Software Engineering and Applications	"Chennai, India"
ACITY 2018	8th International Conference on Advances in Computing and Information Technology	"Melbourne, Australia"
COMIT 2019	3rd International Conference on Computer Science and Information Technology	"Chennai, India"
WiMoNe 2018	10th International Conference on Wireless & Mobile Networks (WiMoNe-2018)	"Dubai, UAE"
ITCA 2019	"7th International Conference of Information Technology, Control and Automation"	"Melbourne, Australia"
ACIJ 2018	Advanced Computing: An International Journal	Locationunavailable
CCSEA 2019	"9th International Conference on Computer Science, Engineering and Applications"	"Toronto, Canada"
BIOENG 2018	3rd International Conference on Bioscience & Engineering (BIOENG 2018)	"Dubai, UAE"
DMDB 2019	6th International Conference on Data Mining and Database	"Vancouver, Canada"
WeST 2018	10th International Conference on Web services & Semantic Technology	"Melbourne, Australia"
DKMP 2019	7th International Conference on Data Mining & Knowledge Management Process	"Toronto, Canada"
CSEIT 2018	"5th International Conference on Computer Science, Engineering and Information Technology"	"Dubai,UAE"
IJDKP 2018	International Journal of Data Mining & Knowledge Management Process	Locationunavailable
"ICBDSC--ACM, Ei & Scopus 2019"	ACM--2019 2nd International Conference on Big Data and Smart Computing (ICBDSC 2019)--Ei Compendex & Scopus	"Bali, Indonesia"
CoSIT 2019	6th International Conference on Computer Science and Information Technology (CoSIT 2019)	"Dubai, UAE"
IJBISS 2018	International Journal of Business Information Systems Strategies	Locationunavailable
P2PTM 2018	8th International Conference on Peer-to-Peer Networks and Trust Management	"Melbourne, Australia"
SCAI 2018	"7th International Conference On Soft Computing, Artificial Intelligence And Applications"	"Sydney , Australia"
DMA 2019	5th International Conference on Data Mining and Applications	"Dubai, UAE"
CCSEIT 2019	"9th International Conference on Computer Science, Engineering and Information Technology"	"Vancouver, Canada"
SIPM 2019	7th International Conference on Signal Image Processing and Multimedia	"Melbourne, Australia"
NET 2019	3rd International Conference on Networks and Communications	"Chennai, India"
IT 2019	8th International Conference on Information Theory	"Vancouver, Canada"
MoWIN 2019	8th International Conference on Mobile & Wireless Networks	"Vancouver, Canada"
AISCA 2019	"3rd International Conference on Artificial Intelligence, Soft Computing And Applications"	"Chennai, India"
AISC 2018	"6th International Conference on Artificial Intelligence, Soft Computing"	"Dubai,UAE"
CHEME 2018	3rd International Conference on Chemical Engineering	"Dubai, UAE"
Meche 2018	6th International Conference On Mechanical Engineering	"Dubai, UAE"
AutoML 2018	The Second International Workshop on Automation in Machine Learning and Big Data	"Seattle, WA, USA"
DaKM 2018	3rd International Conference on Data Mining & Knowledge Management	"Dubai, UAE"
BDMIOM 2018	The 1st International Workshop on Big Data for Marketing Intellegence and Operation Management	"Seattle, WA"
EI/SCOPUS-PRA 2019	2019 Workshop on Pattern Recognition Applications (PRA 2019)	"Shanghai, China"
PBIJ 2018	Pharmaceutical and Biomedical sciences: An International Journal	Locationunavailable
IJWSC 2018	International Journal on Web Service Computing	Locationunavailable
IJCAx 2018	International Journal of Computer-Aided technologies	Locationunavailable
IJDMS 2018	International Journal of Database Management Systems	Locationunavailable
IJPLA 2018	International Journal of Programming Languages and Applications	Locationunavailable
IJWMN 2018	International Journal of Wireless & Mobile Networks -ERA Indexed	Locationunavailable
JoL 2018	International Journal of Law	Locationunavailable
OPTLJ 2018	Integrated Optics and Lightwave : An International Journal	Locationunavailable
IJGCA 2018	International Journal of Grid Computing & Applications	Locationunavailable
IJCSEIT 2018	"International Journal of Computer Science, Engineering and Information Technology"	Locationunavailable
IJMSA 2018	"International Journal of Modelling, Simulation and Applications"	Locationunavailable
IJAIT 2018	International Journal of Advanced Information Technology	Locationunavailable
Ei ICEPOE 2019	2019 3rd International Conference on Engineering Physics and Optoelectronic Engineering (ICEPOE 2019)	"Â Kuala Lumpur,Â Malaysia"
DMKD 2019	2019 2nd International Conference on Data Mining and Knowledge Discovery(DMKD 2019)	"Shanghai, China"
ISCSAI 2018	2018 International Symposium on Computer Science and Artificial Intelligence	Hong Kong
SI-TNNLS-SMLMATA 2018	"TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications"	Locationunavailable
ICETI 2018	2018 3rd International Conference on Engineering and Technology Innovations	Hong Kong
IMCS 2018	2018 International Conference on Information Management and Computer Science	Hong Kong
IMCS 2018	Information Management and Computer Science	Locationunavailable
Scopus-PRIS 2019	2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)	"Shanghai,China"
PSGE-EI/Scopus/CPCI 2019	2019 International Conference on Power System and Green Energy (PSGE 2019)	"Shanghai, China"
ICBDM--Ei Compendex and Scopus 2019	2019 the 2nd International Conference on Big Data Management (ICBDM 2019)--Ei Compendex and Scopus	"Zhuhai, China"
"ACM--ICCDA--Ei Compendex, Scopus 2019"	"ACM--2019 3rd International Conference on Compute and Data Analysis (ICCDA 2019)--Ei Compendex, Scopus"	"University of Hawaii Maui College, USA"
ICGDA--Ei Compendex and Scopus 2019	2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus	"Prague, Czech Republic"
CP3E-EI/Scopus/CPCI 2019	"2019 International Conference on Power, Electrical and Energy Engineering (CP3E 2019)"	"Shanghai, China"
Task Intelligence - WSDM 2019	Task Intelligence Workshop at WSDM 2019	"Melbourne, Australia"
AIHealth@FLAIRS 2019	AI in Healthcare Informatics Special Track at FLAIRS	"Sarasota, FL"
ICBCT--EI Compendex and Scopus 2019	2019 International Conference on Blockchain Technology (ICBCT 2019)--EI Compendex and Scopus	"Honolulu, Hawaii, the United States"
ACM--ICISDM--Ei and Scopus 2019	ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus	"University of Houston, Texas, USA"
ICKMS--Ei and Scopus 2019	2019 2nd International Conference on Knowledge Management Systems (ICKMS 2019)--Ei Compendex and Scopus	"University of Houston, Texas, USA"
_˜_´_µ__Ñ‚_¸Ñ„_¸_º_°Ñ†_¸Ñè 2019	_¡_µ_ºÑ†_¸Ñè Â«_˜_”_•_ù_¢_˜___˜___ê___˜_¯ _¡_˜_¡_¢_•_œÂ» __ Ñ€_°___º_°Ñ… XIII _’ÑÅ_µÑ€__ÑÅÑÅ_¸__ÑÅ_º______ ÑÅ_____µÑ‰_°___¸Ñè _¿__ _¿Ñ€___±_»_µ___°__ Ñƒ_¿Ñ€_°___»_µ___¸Ñè	"_œ__ÑÅ_º___°, _ __ÑÅÑÅ_¸Ñè"
ICBDE--Ei and Scopus 2019	2019 2nd International Conference on Big Data and Education (ICBDE 2019)--Ei Compendex and Scopus	"London, UK"
ICCCBDA--Ei and Scopus 2019	2019 the 4th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2019)--Ei Compendex and Scopus	"Chengdu, China"
IWWSD 2019	1st International Workshop on Web Search and Data Mining	"Leuven, Belgium"
SIMCA 2019	IFAC MIM'2019 SIMCA Open Invited Track	"Berlin, Germany"
"ACM--ICDPA--Scopus, Ei 2019"	"ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex"	"Shanghai, China"
ICCDE--Ei and Scopus 2019	2019 5th International Conference on Computing and Data Engineering (ICCDE 2019)--Ei Compendex and Scopus	"Shanghai, China"
PDDM 2018	Special Issue on Parallel and Distributed Data Mining	Locationunavailable
ACM--ICBDC--Ei and Scopus 2019	ACM--2019 4th International Conference on Big Data and Computing (ICBDC 2019)--Ei Compendex and Scopus	"Guangzhou, China"
iDSC 2019	International Data Science Conference	Salzurg / Austria
ICKEA--Ei Compendex and Scopus 2019	2019 The 4th International Conference on Knowledge Engineering and Applications (ICKEA 2019)--Ei Compendex and Scopus	"Beijing,China"
DSA 2019	The Frontiers in Intelligent Data and Signal Analysis DSA 2019	New York
ICDM 2019	19th Industrial Conference on Data Mining ICDM 2019	New York
MLDM 2019	15th International Conference on Machine Learning and Data Mining MLDM 2019	New York
ICFCA 2019	The 15th International Conference on Formal Concept Analysis	"Frankfurt, Germany"
"ICITS--EI Compendex, SCOPUS 2019"	"2019 The 7th International Conference on Information Technology and Science (ICITS 2019)--EI Compendex, SCOPUS"	Hong Kong
BDAI--Ei and Scopus 2019	2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus	"Guangzhou, China"
DSDE--Ei Compendex and Scopus 2019	2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus	"Jeju Island, South Korea"
"BDE--EI, Scopus 2019"	"2019 International Conference on Big Data Engineering (BDE 2019)--EI Compendex, Scopus"	Hong Kong
DSBFI 2019	"ISSAT International Conference on Data Science in Business, Finance and Industry"	"Da Nang, Vietnam"
DSIS 2019	ISSAT International Conference on Data Science and Intelligent Systems	"Las Vegas, Nevada, USA"
ICDMML 2019	ã€êACM ICPS EI SCOPUSã€‘2019 International Conference on Data Mining and Machine Learning	Hong Kong
COMML 2020	"International Conference on Optimization, Metaheuristics and Machine Learning"	Xi'an
ABCSS 2018	The 3rd International Workshop on Application of Big Data for Computational Social Science	"Seattle, WA, USA"
Call for Participants 2018	2018 International Conference on Green Energy and Sustainable Development (GESD 2018)	"Jeju Island, Korea"
SDM 2019	SIAM International Conference on Data Mining	"Hyatt Regency Calgary, Calgary, Alberta,"
